Time,Reference,Target
8.1,3.6,3.6
8.12,4.23,4.23
8.14,4.98,4.98
8.16,7.4,7.4
8.18,8,8
8.2,8.78,8.78
8.22,8.94,8.94
8.24,8.81,8.81
8.26,8.85,8.85
8.28,8.69,8.69
8.3,8.44,8.44
8.32,8.15,8.15
8.34,7.98,7.98
8.36,8.18,8.18
8.38,8.76,8.76
8.4,9.56,9.56
8.42,10.08,10.08
8.44,10.57,10.57
8.46,10.83,10.83
8.48,11.17,11.17
8.5,10.96,10.96
8.52,10.26,10.26
8.54,9.74,9.74
8.56,9.34,9.34
8.58,9.29,9.29
8.6,9.67,9.67
8.62,9.3,9.3
8.64,9.55,9.55
8.66,10.36,10.36
8.68,10.96,10.96
8.7,11.86,11.86
8.72,12.7,12.7
8.74,13.71,13.71
8.76,14.66,14.66
8.78,16.6,16.6
8.8,16.94,16.94
8.82,16.91,16.91
8.84,17.5,17.5
8.86,18.42,18.42
8.88,19.29,19.29
8.9,20.13,20.13
8.92,20.89,20.89
8.94,21.6,21.6
8.96,22.06,22.06
8.98,22.51,22.51
9,23.02,23.02
9.02,23.57,23.57
9.04,24.56,24.56
9.06,25.76,25.76
9.08,27.12,27.12
9.1,28.54,28.54
9.12,33.3,33.3
9.14,33.85,33.85
9.16,33.73,
9.18,33.64,
9.2,33.85,
9.22,34.66,
9.24,35.24,35.24
9.26,35.07,
9.28,34.78,
9.3,34.1,
9.32,33.39,
9.34,32.73,
9.36,32.28,
9.38,32.42,
9.4,33.29,
9.42,34.23,
9.44,35.35,
9.46,37,
9.48,38.51,
9.5,40.15,
9.52,41.75,
9.54,44.97,
9.56,46.46,
9.58,47.87,
9.6,50.48,
9.62,51.54,
9.64,52.37,
9.66,53.31,
9.68,54.38,54.38
9.7,55.31,
9.72,57.17,
9.74,59.66,59.66
9.76,60.14,60.14
9.78,61.16,61.16
9.8,62.4,62.4
9.82,63.77,63.77
9.84,65.14,65.14
9.86,66.94,66.94
9.88,68.85,68.85
9.9,70.41,70.41
9.92,71.69,71.69
9.94,72.94,72.94
9.96,74.14,74.14
9.98,75.15,75.15
10,75.93,75.93
10.02,76.96,76.96
10.04,77.6,77.6
10.06,78.08,78.08
10.08,78.55,78.55
10.1,79.05,79.05
10.12,80,
10.14,80.07,80.07
10.16,80.9,80.9
10.18,81.03,81.03
10.2,81.71,81.71
10.22,82.26,82.26
10.24,82.67,
10.26,83.04,
10.28,83.5,
10.3,83.84,
10.32,84.23,
10.34,84.56,
10.36,84.55,
10.38,84.48,84.48
10.4,84.42,
10.42,84.56,
10.44,84.74,
10.46,84.97,
10.48,85.08,
10.5,85.28,
10.52,85.35,85.35
10.54,86.07,86.07
10.56,86.27,86.27
10.58,86.47,86.47
10.6,86.67,86.67
10.62,86.21,86.21
10.64,85.54,85.54
10.66,84.44,84.44
10.68,83.54,83.54
10.7,82.12,82.12
10.72,80.69,80.69
10.74,79.39,79.39
10.76,78.11,78.11
10.78,76.99,76.99
10.8,76.1,76.1
10.82,75.68,75.68
10.84,75.63,75.63
10.86,75.44,75.44
10.88,75.04,75.04
10.9,74.37,
10.92,74.4,
10.94,74.11,
10.96,73.39,
10.98,72.95,
11,72.56,72.56
11.02,71.89,
11.04,71.5,
11.06,71.15,
11.08,70.38,
11.1,69.16,
11.12,67.83,67.83
11.14,66.23,
11.16,64.43,
11.18,62.75,
11.2,60.84,
11.22,58.96,
11.24,56.97,
11.26,55.23,
11.28,53.91,53.91
11.3,52.68,
11.32,51.4,51.4
11.34,50.45,50.45
11.36,49.63,49.63
11.38,48.2,48.2
11.4,47.21,47.21
11.42,46.3,46.3
11.44,45.68,45.68
11.46,44.98,44.98
11.48,44.71,44.71
11.5,44.66,44.66
11.52,45.01,45.01
11.54,45.44,45.44
11.56,45.68,45.68
11.58,45.64,45.64
11.6,45.64,45.64
11.62,46.09,46.09
11.64,46.4,46.4
11.66,46.99,46.99
11.68,47.58,47.58
11.7,48.07,48.07
11.72,48.29,48.29
11.74,48.43,48.43
11.76,48.68,
11.78,48.88,48.88
11.8,49.01,
11.82,49.55,
11.84,50.02,
11.86,50.64,
11.88,51.59,
11.9,52.68,
11.92,53.65,
11.94,54.76,
11.96,55.97,55.97
11.98,57.07,
12,58.15,
12.02,59.05,
12.04,59.87,
12.06,60.24,60.24
12.08,59.04,
12.1,57.76,
